rating,title,status,pros,cons,advice,Recommend,CEO Approval,Business Outlook,Career Opportunities,Compensation and Benefits,Senior Management,Work/Life Balance,Culture & Values,Diversity & Inclusion,firm_link,date,job,index
5.0,A typical MNC pharmaceutical.,"Former Employee, more than 8 years","Good benefits: insurance, annual leave.",Too many processes. Layoff package was low in Vietnam.,,v,o,v,3,5,3,4,3.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-14, Medical Representative,
4.0,Revamped to successfully reimagine medicines,"Current Employee, more than 10 years",Some of best minds in business Talented people who care Competitive compensation,Took back work from anywhere,,v,v,v,5,4,4,3,4.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-12," Senior Director, Strategy",
5.0,e,Current Employee,Great work environment at the work place,none that I can comment on,,v,v,v,4,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-16, Commercial Execution Manager,
4.0,Great place to work in,"Current Employee, more than 10 years","Colleagues, relations, atmosphere, culture, purpose","Sallary, systems, descission making, conditions",,v,v,v,5,3,4,2,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-16, Country Monitoring Head,
4.0,-,"Former Employee, more than 8 years",Pay was decent compared to rest of the market,Culture was taking a turn for the worse,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-13, Senior Product Manager,
5.0,Nice place to work,"Former Employee, more than 3 years","Supportive ecosystems, teamwork, abundant development channel, flexible work","High workloads, work with different timezone",,v,v,v,5,5,5,4,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-12, Senior Statutory Accountant,
4.0,Excellent working environment. Company to stay in for a long time,"Current Employee, more than 1 year","Flexibility, Excellent work-private life balance, international environment","Salaries slightly lower then main competitors, structure changes may lead to stuff cutbacks, very few benefits compared to competitor companies",,v,v,x,4,2,3,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-31, Senior Scientist,
3.0,poor leadership,Current Employee,Work life balance is good,if you struck with bad manager - you're gone,,v,v,v,3,3,1,3,3.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-03-15, Consulting Senior Manager,
5.0,Great place to work,Current Employee,Great culture A lot of opportunities to grow and learn,Can’t think of any cons,,o,o,o,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-12, Trial Manager,
4.0,good company,"Current Employee, more than 1 year",Great people to work with,Nothing in mind that stands out,,v,v,r,3,5,4,5,4.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-16, Associate Director,
4.0,"Great people, great location.","Former Employee, more than 5 years","Great team, lovely campus, easy transport to and from campus.",Top down decisions and demands with 0 consultation with experts so projects are designed to fail. They have made everyone return to the office after covid.,,v,x,x,4,5,4,4,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-29, UX Specialist,
5.0,Great,"Current Employee, less than 1 year",Work life balance is good,Extra effort required for visibility,,v,v,v,4,5,3,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-15, Associate Director of Development,
4.0,Great place!,"Former Employee, more than 5 years","Flexibility, benefits, opportunities, exposure, learning on job",Not much focus on training prior to execution in a role,,v,v,v,4,2,2,5,5.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-10, Medical Education Manager,
5.0,Novartis,Current Employee,Fantastic training and support in and out of work,More opportunities to move up the ladder in engineering,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-11, Mechanical Technician,
5.0,Fellow (Senior Expert),Former Employee,Novartis has a strong V&B culture and should sustain this. Employees are free to speak up to any level,Novartis should speed up innovation to bring strong pipeline to small moleules,,v,v,v,5,5,4,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-01, Fellow,
4.0,Great place to work,"Current Employee, more than 3 years",Work life balance Employee centric Great culture,Location based role. Needs to be in Hyderabad Poor Growth opportunity,,x,v,v,2,5,1,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-09, Senior Analyst,
4.0,My experience,Current Employee,Taking care of its employees. Very well defined business management. No boss culture.,No promotion. No growth. Stock issues. Poor HR.,,x,r,v,1,2,1,2,3.0,2.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-07, Field Executive,
4.0,Great company to work for,"Current Employee, more than 3 years","Work-life balance, competitive salary, access to great online learning resources, great atmosphere and culture.",Frequent org and decision changes make it difficult to feel a real sense of belonging. More consistency and stable decisions are needed.,,v,r,r,4,5,3,5,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-27, IT Security Specialist,
4.0,big company big impact,Former Employee,big company big impact big ideas,"gets in its own way , duplicate efforts competing with each other.",,v,v,v,4,4,3,4,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-08, Global Innovation Head,
4.0,Salary,Former Employee,Good company good culture true MNC,Not so much with Novartis,,o,o,o,5,5,3,4,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-14, Territory Business Executive,
5.0,a work place where is not worth to work,"Former Employee, more than 8 years","changes and improvement,culture,a dvance technologies","very bureaucratic organization,slow decision making system, unreliable managers, very low HR support",,x,x,o,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-27, Senior Validation Engineer,
3.0,Process owner at Novartis,"Current Employee, more than 8 years",Good overall compensation & benefits,Too many transformations in the last few years,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-03-14, Global Process Owner,
3.0,Good company,"Current Employee, more than 3 years","great knowledgeable teams, great pipelin",current restructuring can be demotivating,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-03-16," Associate Director, Medical Affairs",
5.0,Nice Company,Current Employee,Good work life balance during work from home,work from home is not available anymore,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-10, Biostatistician II,
5.0,Good company,"Current Employee, more than 3 years",Employee friendly and nice company to work with,Nothing at all . .,,v,v,v,4,3,4,3,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-09, Project Manager,
5.0,Great company,"Former Employee, more than 3 years",All is well nothing bad,If you do good your contributions are recognized,,v,v,v,4,3,3,3,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-09, Senior Scientific Writer II,
5.0,Great work culture,"Current Employee, more than 3 years",Culture is great and pay is decent,Bonus is yearly and not very much,,v,v,v,5,4,5,4,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-07, Associate Director,
3.0,A strong pharmaceutical company,Current Employee,"Big company, good people, many opportunities",The company is currently under restructuring,,o,o,v,4,4,2,4,3.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-03-13, Transition Manager,
4.0,Development,"Former Employee, more than 8 years",Great culture and learning opportunities,Can have a better opportunity,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-11, Associate Director of Development,
3.0,Good culture,Current Employee,-open and accept everyone with time to grow -open culture,"-depends on boss, my boss have favourism and it is very serious in our team",,v,o,r,2,3,3,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-03-07, Learning Services Executive,
4.0,Good place to work,"Current Employee, more than 1 year",Good work life balance. Excellent people around,Not much space for promotion,,v,v,v,3,4,3,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-09, Anonymous Employee,
5.0,Strategic Marketing,Current Employee,Reimagining Medicine and allows the development of essential and transversal skills to the healthcare market,more effective management of employees' career plans,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-03, Marketing Product Manager,
4.0,,Current Employee,"not very competitive, not very political environment ( comparing to many other pharma companies, especially american). If you perform well - you are already exceeding expectations.","slow, burocratic, risk -averse, feels like a swamp",,o,x,o,4,4,3,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-27, Associate Director of Development,
4.0,Great company to be part of,"Current Employee, more than 3 years","Values and company vision is in line with what I strive to. The culture in the past years has grown into an open, safe environment for growth.",Work life balance is stil something to look out for.,,v,r,r,4,3,4,2,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-03, Omnichannel Engagement Manager,
3.0,Best way to recognize Supply Chain,"Current Employee, more than 10 years",A lot of gained knowledge E2E SC process review Best position to start uderstanding of Supply Chain Yearly bonus around 70 percent of monthly salary,"Low payment related to other companies in Warsaw Additional tasks that take up to 50 percent of overall work time Overhours to take, not to pay Mainly horizontal promotions without bonuses",,x,r,x,2,4,2,2,4.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-17, Tactical Planner,
3.0,Work life at Novartis,"Current Employee, more than 5 years",Work life balance Interesting business domains,Constant organizational transformation leading to uncertainty for building a long term career,,x,v,x,3,4,3,4,3.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-03-09, Director,
5.0,Excellent Work Environment,"Current Employee, less than 1 year","Excellent Culture, work life balance, good payscale",No overall cons to present,,v,v,v,5,4,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-07, Associate Statistical Programmer,
4.0,Good company to work,Former Employee,"Environment, fair salary, opportunities, stability, benefits","Organizational structure, difficulties to change role",,o,o,o,4,4,3,3,4.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-07, Finance Officer,
3.0,AI Lacking in Finance,"Former Employee, more than 1 year",At the time the work was remote.,Not much automation despite all the AI hype.,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-19, Senior BPA,
4.0,Excellent company to work with,"Current Employee, more than 10 years",Culture is really good. Innovative company Flexible work hours,Changes are too frequent in the organization,,v,v,v,4,4,4,5,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-27, Sr. Clinical Supply Project Lead,
4.0,CTC,Current Employee,Flexible work schedule. Great boss.,Heavy workload. New office in old Montreal.,,v,r,r,4,4,4,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-08, Clinical Trial Coordinator,
5.0,Best place to work,"Former Employee, more than 3 years",Open work environment More opportunities to learn and grow,No wfh long meetings More townhall meetings,,v,v,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-01, Clinical Database Developer,
5.0,Grt working,"Current Employee, more than 5 years",Great work culture friendly environment,I don't feel any yet,,v,v,x,3,3,3,3,3.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-07, Project Manager,
4.0,Good place to work,"Current Employee, more than 10 years","Good work life balance, good benefit, nice people",Big company and there is silo in some cases that lead inefficient cross functional collaboration,,v,v,v,4,4,3,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-28, Medical Operations Manager,
4.0,Good company,"Current Employee, more than 5 years","Work benefits, flexible working arrangements","Workload, heavy processing with multiple systems",,o,o,o,4,5,3,3,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-06, Business Support Specialist,
3.0,Review Novartis,Former Employee,Flexible Working hours + good work life balance,No possibility to advance in your career in IT/Data Science area in Germany/Switzerland,,x,r,r,2,4,2,4,3.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-28, IT Business Analyst,
5.0,Insights role for global marketing with team management,Current Employee,Great exposure to different markets,Limited exposure to actual action in each market due to proximity,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-01-30, Disease Area Lead,
5.0,Excellent culture and benefits,"Current Employee, less than 1 year",A positive and transparent culture. Market leading benefits.,Currently pushing a 12 days a month office policy. However this is mandatory depending on your distance to the office.,,v,v,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-23, Strategic Talent Sourcer,
4.0,Good employer,Current Employee,"Good salaries, high tech level",Poor team spirit Work load,,o,o,o,4,5,4,3,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-06, Engieering,
4.0,Great place to work,"Current Employee, more than 5 years",work life balance good environment,low salary (mostly because of being Argentina),,v,r,v,5,3,4,5,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-02, Market Access Manager,
5.0,Excellent place,"Former Employee, more than 1 year",wonderful place to work and good opportunities,Salary is below benchmark and sub par variable,,v,v,v,5,3,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-02, Senior Analyst,
4.0,Great culture,Current Employee,flexible working great package good culture,none i can think of,,o,v,o,4,4,4,4,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-05, Project Manager,
4.0,Advancement,"Current Employee, more than 1 year",Learning culture Opportunities for Advancement,work life balance Management habbit,,v,v,v,4,4,3,3,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-06, Regulatory Affairs Associate,
1.0,not recommended,Current Employee,compensation is ok for market.,it is too much disorganised inside.,,x,x,x,1,3,1,1,1.0,1.0,Reviews/Novartis-Reviews-E935314.htm,2023-03-22, Associate Director ,
5.0,Best working environment,"Former Employee, more than 1 year",Work life balance Team collaboration Unlimited sick leave Family health insurance Relocation benefits,There is no cons about company,,v,v,v,5,4,4,4,5.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-28, Analyst,
5.0,Great Place To Work,"Current Employee, less than 1 year",Multicultural company based on meritocracy. Hierarchy responsive to employee needs. Attractive salary package...,workload and stress are high sometimes,,v,v,r,5,4,4,4,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-27, Process Team Leader,
5.0,Software Engineer,"Current Employee, more than 1 year",Nice work life balance in the company,Move to office is not good for the type of work people do,,v,v,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-24, Software Engineer,
5.0,Great place to work,"Former Employee, more than 1 year",Great people; Work life balance,Slow pace of work and you need to be self driven to drive your career,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-01-25, Commercial Analyst,
4.0,Excellent Organization,"Former Employee, more than 3 years",Unbossed culture through out the system,Need to improve work-life balance,,v,v,v,4,5,3,3,5.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-02, Territory Sales Representative,
4.0,Great company - good people,"Former Employee, less than 1 year",Although novartis has been going thru a lot of restructuring they are basically a v decent bu FH if people,Restructuring is a bit of a pain,,v,v,v,4,4,5,3,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-15, Comms Director,
1.0,Transforming for greed,"Current Employee, more than 8 years",Non applicable - any pros were left behind years ago,"Salary banding sig’ bellow industry average Bonuses are unattainable Management is a forced diversity expertise not based on merit or experience The unbossed cultural promise is a lie Staff are treated like pawns and to speak up only results in being shot down A toxic pond of greed with political alignment supporting non capitalism, left wing ideology and cancel culture.",,x,x,x,2,1,1,1,1.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-14, Key Account Manager (KAM),
1.0,Dd,Former Employee,The activity of job is actually beautiful but the cultural environment is toxic,Very low salary Toxic environment,,o,o,o,1,1,1,1,1.0,1.0,Reviews/Novartis-Reviews-E935314.htm,2023-03-18, Quality Control Analyst,
4.0,"Great company, political HR","Current Employee, more than 10 years",- Life changing work - Good benefits - Flexible working - Great people - Changing for the better,"- HR is political, who you know not what you know - Finding a work life balance is a challenge",,v,v,v,4,4,4,4,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-09, Global Director HR,
5.0,Overall experience,"Current Employee, more than 1 year",- time and location flexibility - ability to meet personal goals - clear sense of purpose - work culture - financial security,- work/life balance may be difficult - work overload (if you work in a small team with a lot of responsibilities),,v,v,v,5,5,5,3,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-09, Specialist,
5.0,Snr MD,Current Employee,Excellent employer in all ways,Nothing to note at all,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-01, Senior Medical Director Clinical Development,
4.0,Good before re structure,Former Employee,good working environment and culture,The commission can be quarterly instead of monthly,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-01-29, Product Specialist,
2.0,Novartis,"Former Employee, more than 5 years",Good salary and choice of responsibility,"Only politics, less science Focus first on job security",,x,x,x,3,5,1,5,1.0,2.0,Reviews/Novartis-Reviews-E935314.htm,2023-03-06, Director,
3.0,Review,Current Employee,Culture is good Pay is good,Opportunities for IT Leaders are limited Change triggered too often,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-03-04, Associate Director of Operations,
4.0,Medical,"Former Employee, more than 8 years","Organizacional culture, people, compensations, webside","salaries, job opportunities, a great company",,o,o,o,3,4,3,3,5.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-30, Medical Lead,
4.0,Good worklife balance with okayish pay,"Current Employee, more than 5 years",Work life balance and associate flexibility,Yearly raise and salaries are not the best in industry,,o,o,o,5,3,3,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-25, Group Leader,
5.0,Very good,"Current Employee, more than 1 year",It was good experience overall,Nothing company is great and,,v,v,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-30, Business Analyst,
5.0,Good Work Life balance and more to learn,"Current Employee, more than 3 years",Good Growth and so much can be learnt from cross functional teams.,Nothing to mention as the company is doing better.,,v,v,v,5,,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-17, Business Analyst,
2.0,The working environment and employees’ mental health are both collapsing,Former Employee,Good payment and great amount of knowledge,"Toxic working environment, micromanaging, no life-work balance and no loyalty to its employees",,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-20, Legal,
4.0,Really good company to work for gaining extensive experience in many areas,"Current Employee, more than 8 years",Opportunities/Experience in many areas Learning platforms are fantastic,Currently going through major transformation(s) with a degree of uncertainty for employees,,v,r,r,5,4,4,5,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-03, Director,
3.0,Rapid strategic changes has led to a lot of people pain,"Current Employee, more than 3 years","Interesting projects, large scale, room to grow","Inconsistent strategy, bureaucracy, poor form in offboarding people (non-payment of bonus)",,o,o,x,4,4,2,3,3.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-23, Engineer,
5.0,Polecam,Current Employee,Good salary Flexible work hours (remore working possibity),Difficult to get promoted and develop,,v,v,v,3,5,3,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-26, Administrative/Medical Coordinator,
5.0,Great working place,"Current Employee, more than 5 years",Great working place and always supportive to employees,Not seen any downsides and always supportive to employees,,v,v,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-18, Quality Assurance Manager,
4.0,Good work life balance,"Current Employee, more than 1 year",Good work flexibility and work life balance,Very less opportunities for growth,,v,v,v,3,3,4,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-25, Data Engineering Manager,
4.0,Good place to work,"Current Employee, more than 1 year",Cool environment Not much bossism Employee flexibility,Regular and frequent organisation structure changes,,v,o,v,4,3,4,4,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-23, Service Operations Expert,
5.0,Great Workplace,Former Employee,flexible hours and reasonable expectations,limited opportunity for transfer and movement,,v,v,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-25, Account Manager,
4.0,Good company,"Current Employee, more than 3 years",Good culture with good learning opportunities,Need to reduce bureaucracy and keeping organisation more simple and effective,,v,v,o,3,3,5,4,5.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-15, Medical Lead,
5.0,Perfect job,Current Employee,Pay and ability to learn,no work-life balance and do what must be done,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-01-23, Senior Toxicologist,
5.0,Quality assurance expert in QMS and Complianc,Current Employee,They follow the integrity at work and ethics of employees and unbossed culture and high standards in Compliance and zero tolerance in deviations.,Provide more awareness on the software systems for user friendly.,,v,v,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-04, Quality Assurance,
4.0,Good company,"Current Employee, more than 5 years","Name, Ressourcen, learning opportunities, stability.",The normal issues of a big corporate environment such as politics bureaucracy and managers playing favourites,,o,r,v,3,4,3,4,4.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-11, Sales Representative,
5.0,Work Environment,"Current Employee, more than 3 years",A lot of growth opportunities,No problem working with at Novartis so far,,v,v,v,4,4,4,3,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-23, Business Analyst,
4.0,Happy place,"Current Employee, more than 8 years",Good life work balance for people with kids,too much politics and too big (you are just a number),,o,o,o,,4,3,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-19, Scientist I,
4.0,Good opportunity to enter the market,"Current Employee, more than 1 year",- See many things in the industry - Free to work with all the departments,- The least industry in technology and innovation - Old school mindset,,v,r,r,5,4,2,5,5.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-10, Graduate Program,
4.0,Good Company to Work for,"Former Employee, more than 1 year","Great Work Life Balance, Good employee centric policies","Politics, being such a big company, uncertainty is there",,v,v,v,4,4,4,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-17, Business Analyst,
4.0,Nice work culture,"Current Employee, more than 3 years",Flexible in timing Unbossed culture,Slow growth as compared to other companies,,v,v,v,4,3,4,5,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-22, Manager,
5.0,A good company to work for,"Current Employee, less than 1 year",Everything from the working enviroment to the offered pacakge,Nothing that would be considered as a Con.,,v,o,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-15, Financial Controller,
3.0,Company Culture,"Former Employee, more than 3 years",Good compensation and ambitious push for work life balance.Awesome maternity paternity program for employees.,"Too much uncertainty,changes are too much,Very autocratic management by middle to supervisors as ultimate dictators.Very fertile for toxicity and unmatched ground for people trying to fix and get rid of each other.",,x,v,x,5,4,3,4,2.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-30, Medical Representative,
4.0,pharmaceutical,"Former Employee, more than 8 years",Innovative company with a large product portfolio in different therapeutical areas.,Fast pace and could be a challenge to find a work-life balance.,,v,v,v,5,3,3,2,3.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-13, Market Manager,
4.0,Inspired-Curious-Unbossed,"Current Employee, more than 3 years",Strong pipeline Family friendly workplace Diversity & inclusion Women in leadership,Systems not integrated Lots of change happening across the year,,v,v,v,5,4,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-12, Senior People Manager,
4.0,Pipeline,Current Employee,Innovative company that develop innovative medicine,Miscommunication between different company departments.,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-01-22, Project Manager,
4.0,Great culture but less growth,"Current Employee, more than 5 years",Great culture Employee friendly Good people,Less pay Not much growth No stock options for india employees International transfer constraints,,v,x,v,3,3,3,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-12, Team Lead,
4.0,Good company,Current Employee,Growth opportunities abundant in service centers,Local country roles impacted due to restructuring,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-01-19, Procurement Manager,
5.0,Great place to work,Current Employee,"Unbossed culture , benefits, work life balance","Frequent changes, better infra, space constraints in office",,v,v,v,4,4,3,4,4.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-15, Associate,
5.0,,Current Employee,good culture for work life balance,Transformation was in progress in 2022,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-01-19, Product Manager,
5.0,Review,Former Employee,Good Friendly Work life balance,No No No No No,,v,v,v,5,5,5,5,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-20, CMC Manager,
4.0,Good company,"Current Employee, more than 1 year","Flexible, good salary, nice office, professional people","Lacks personal touch, future a little uncertain",,o,v,o,4,4,3,3,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-17, Project Manager,
3.0,Prepare to schmooze,"Former Employee, more than 3 years",Social events Good infrastructure Good support if you are willing to people-please,"Not a merit-based culture Unqualified staff placed in positions that need specific, industry-mandated qualifications Promotions based purely on people-pleasing. Good people with solid experience leave within 12 months- maximum.",,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-07, Anonymous Employee,
5.0,MSL,Current Employee,Great support Company culture Work-life balance,Processes are long and slow,,o,o,o,4,4,4,5,5.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-17, Medical Science Liaison (MSL),
3.0,NVS,Former Employee,Large corp with expected employee benefits and opportunities.,Large re-org happening worldwide. Wait for the dust to settle.,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-20, Medical Lead,
4.0,Review,"Current Employee, more than 3 years","Flexibility working time, good working environment","Present a number of non qualified managers / team lead in organization. Decision making, experience is not mature or constructive to drive the team.",,o,o,o,4,5,3,5,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-02, TPRM Specialist,
2.0,Bad managment,"Current Employee, more than 1 year",Salary and flexibility are good.,"Micromenagment, incompetence, zero knowledge transfer, very fast paced, no opportunity to grow.",,o,o,o,5,5,1,3,1.0,1.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-20, Tester,
