rating,title,status,pros,cons,advice,Recommend,CEO Approval,Business Outlook,Career Opportunities,Compensation and Benefits,Senior Management,Work/Life Balance,Culture & Values,Diversity & Inclusion,firm_link,date,job,index
5.0,Good to Employees,Former Employee,"Benefits: awesome vision/dental insurance for almost nothing. 
Set your own schedule (within reason) part time","Some people get promoted to management who have absolutely no business managing toilet paper, they’re terrible at it, that can be I credibly frustrating. Otherwise, it’s a pleasure.",,v,v,v,5,5,5,5,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-11-08, Homemaker,
2.0,Only a good company to work for if you’re judging it from a grocery/retail perspective,"Current Employee, more than 1 year","Benefits for full time associates. Also, partial tuition reimbursement for current college students.","No consistent structure. Expectations change almost weekly and come with threats of counseling statements that never actually get enforced. Micro managing from all levels of management. Sometimes unrealistic expectations and deadlines. Morale is not a priority to management, all they care about it productivity.",,x,x,r,5,4,1,1,3.0,1.0,Reviews/Publix-Reviews-E613700.htm,2020-10-17, Grocery Stocker,
3.0,Cashier publix,Current Employee,They give good benefits during COVID,Management sucks..They catch a attitude with you just for asking a question and speak to you with no respect and expect for you to put up with it.,,x,v,r,4,5,1,4,2.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-12-03, Cashier,
3.0,"Good workplace, but the company couldn't care less about you","Former Employee, more than 1 year","The company is relatively professional in its interactions with you, it's pretty consistent with its hours, and as long as you do what you're told you will not have any issues","You're constantly promised opportunities to advance that barely exist, you're promised raises that will be far less than what you deserve, and you will always feel like you're just treading water. It becomes very clear after a few months that the management plays favorites and if you're not one of the favorites, you will get the minimum raise amount if any, you will never be promoted, and you have zero incentive to do anything besides the bare minimum amount of work required to keep your job there. They do not care about your ideas to improve work flow or the work environment and there is absolutely no wiggle room in how things may be done. They are looking strictly for people to blindly follow orders and will suck the soul out of you. They also pay significantly less than ALL of the competition. It's a bland corporate environment that only benefits the people who are willing to play along and pretend like the company isn't just a money-grabbing, racist corporation.

Side note: When the pandemic hit, every single company besides Publix gave out hazard pay or some sort of bonus compensation. We got a $50 gift card at the beginning of the pandemic and the first time someone at your store got COVID, you got another gift card as some sort of hush money. Disgusting. The gift cards were taxed by the way, and the taxes were taken out of your pay check.",,x,x,x,2,2,2,1,2.0,2.0,Reviews/Publix-Reviews-E613700.htm,2020-11-20, Food Service Worker,
4.0,Good job shady management,"Former Employee, more than 1 year","Weekly pay
Weekly coupons and benefits
Clean and efficient work environment 
Friendly co-workers
Days go by quickly","Management does not incentivize hard workers. They exploit those who put in more effort. 
They will keep you where they want you even if others around you are moving up
They will not want to promote you if you do the lower jobs too well. 
They do not appropriately address associate complaints. 
Managers are overworked and miserable and take it out on subordinates",,v,r,v,4,4,4,4,5.0,,Reviews/Publix-Reviews-E613700.htm,2020-08-07, Front Service Clerk and Cashier,
2.0,This department is a scam...,"Current Employee, more than 1 year","good subs
Good sliced meat
fried chicken is ok some days
nice people sometimes
free stuff sometimes","no team work
no room for growth
learn by yourself or hope someone helps you 
unreliable evaluations",,x,x,x,2,2,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2020-09-11, Deli Clerk,
5.0,Great Company depends on management.,"Current Employee, more than 1 year","Flexible hours, Holiday bonus, Free Stock after 1 years of work with 1,000 hours before your hired date. Discount program for travel, electronics theme parks ect.. 401k","Customers, can be pretty rude, management can be bad, could have coworkers who are slackers, baggers, cashiers have to get shopping carts in all year around weather conditions, stores with a big lot can have carts all over and far out.",,o,v,v,4,4,4,4,4.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-11-28, Front Service Clerk (Bagger),
5.0,Awesome Flexibility with scheduling,"Former Employee, more than 1 year",I worked 1 day a week for no more than 4 hours. Appreciate them for letting me do that. Wish I continued to take advantage of that but paychecks were extremely low of course,Can’t take tips when you take people’s groceries out. Another employee ruined that. But not many cons to be honest.,,v,r,v,3,3,4,5,5.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-12-10, Front Service Clerk (Bagger),
3.0,"Great pay, plenty of hours, mixed management and zero empathy","Former Employee, more than 5 years",Great Pay. Plenty of hours. Career growth.,"Career growth comes with bending over and giving your life to them. They’ll take everything out of you for the decent pay. They want the whole 5am 16 pallet truck stocked, back room clean, birds worked and end caps full before 7am.",,x,x,x,4,4,3,2,3.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-12-17, Grocery Team Leader,
2.0,"It’s an OK job, not ideal for long term",Former Employee,"Starting pay is around $3-4 higher than state minimum wage.
Opportunities to advance to higher positions within department.","Requests to transfer departments don’t often get approved, which can cause a roadblock for those wishing to branch out and expand upon their work experience.
Working here isn’t worth it in the long run unless you’re able to become full time or work your way up to management positions.
I was witness to unprofessional behavior from coworkers and management toward myself and other associates.",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2020-12-07, Cashier,
2.0,A Moderate Place to Work,"Current Employee, less than 1 year","I've been working part time for about 8 months now. The pay is good enough for a part time job. While I haven't actually gone for tuition reimbursement, from what I understand it is very doable and can be rather nice.","While the managers and team leaders may be nice, that all changes after you've been with the store long enough. You start to notice that all they seem to do is talk on their phones and to each other, while at the same time getting mad when you talk to your fellow co-workers for a grand total of 5 minutes while you still get more work done than they've done all week. Schedule requesting can be a bit tough if its more of a last minute deal. I also work the closing shift which means that I am there from 2:00-11:00, which means I pretty much go to bed shortly after I get home. So with that in mind, I had some personal activities that took place on Mondays and Wednesdays and started around 7:30, so I asked my manager if I could have my schedule shifted to allow me to attend such events (since I work on truck days aka Sunday, Tuesday, Wednesday, and Friday and usually have Mondays off). So the following 2 weeks nothing happened simply because I had some time off requests and they were working around them, but the third week, I get scheduled for Monday and Wednesday for the closing shift, its like stuff like that just doesn't click with them, or maybe I got on someone's bad side because the Publix way is favoring certain employees over others. For instance, the person at my store who is responsible for changing the sale tags on Tuesdays found out one day that they didn't get a promotion, so instead of sucking it up, they left within 20 minutes of being there and left the rest of use to do their job, and as far as I know, nothing has been done to punish them, they still get every single weekend off as a full time associate and seem to get away with doing barely any work within a reasonable amount of time.",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2020-11-03, Grocery Stock Clerk,
4.0,Great Place to Work,"Current Employee, more than 5 years",Publix cares greatly about their employees which ultimately maintains the positive environment.,Sometimes it will feel very understaffed due to regional management trying to cut hours. This unfortunately puts a high amount of stress on the associates as well as tiresome work.,,v,r,v,4,4,5,4,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-15, Customer Service Staff,
3.0,Work Life Balance is Awful,"Former Employee, more than 10 years","Benefits, Potential for bonuses in management, flexible hours","Management, Benefits are slowly being taken away, if youre full time you have no time of your own",,o,x,r,4,4,2,1,3.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-12-17, Customer Service Team Leader,
3.0,Just Okay so Far,"Current Employee, less than 1 year",Nice co-workers who want to help but they are all stressed and low morale.,"Low end pay for type of work - cake decorators start at about $12 per hour and that's way below industry standard.
Unorganized - Complete mess of organization in the decorating department
Understaffed - there is no possible way for the team to get the production list sent down by corporate done every day, so morale is low. New hires like me feel like they are doing something wrong",,v,r,r,4,3,3,3,4.0,,Reviews/Publix-Reviews-E613700.htm,2020-07-03, Cake Decorator,
4.0,"Great co-workers, supportive culture, and happy customers","Current Employee, more than 5 years","-Proud to work at Publix because everyone has a common sense of mission to provide ultimate customer satisfaction

-High quality products, both Publix brand and from 3rd party suppliers/producers

-The whole company is employee-owned, which adds to the unique sense of mission","-Often searching for busy work when business becomes slow, can be tedious

-Pay could be better, raise every 6 months depending on employee performance

-My part time shifts usually have no consistent start time, end time, and length. Can get 35 hours one week, and 20 the next, depending on business.",,v,v,v,5,3,5,3,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-10-28, Front Service Clerk (Bagger),
5.0,Best job,"Former Employee, more than 1 year",Pay people you work with,Hard work on your body,,v,r,x,3,3,2,2,2.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-10-19, Deli Clerk,
4.0,Same pros and cons depending on what you’re looking for,"Current Employee, less than 1 year","Fast paced, detail oriented, constantly on your feet, lots of customer interaction, very labor intensive.","Can be the same as the pros, depending on who you are. If you’re looking to move up in retail it will take many years. Most assistant department managers have been there 10+ years and the only way around this is to have a heavily lopsided work/life balance in favor of work.",,v,r,v,4,4,4,3,4.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-12-07, Grocery Clerk,
3.0,Its a okay place to work for a first job right out of high school or make a career out of.,"Former Employee, more than 5 years","Co-workers/some management, fun place to work at times. It is and will ever be one of the best places to retire from because of the stock option and the 401k option is awesome.","Management, extremely hard to get fired from, don't expect managers to do stuff for you when they say they will a very few will do what you ask especially if you need help, a lot has changed within the 5 years I have worked there ever sense we got a new CEO the company has gone down hill. a lot of the managers you run into are just straight up I'm better than you attitude on top of all if you go to HR about a manager they don't do anything to help the situation and the store manager will always choose the managers side you are always in the wrong. On top of all that being said it is extremely hard to get fulltime I was one of the best workers at my Publix but I was never praised for doing a good job I was always the one clearing the lot or picking up after everyone.",,v,r,v,5,3,3,5,2.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-10-12, Cashier,
2.0,Please Read **,"Former Employee, more than 5 years","Benefits 
Wish I was posting about the amazing first 4 years with Publix I had in many different stores with every type of leadership and several promotions. Instead, I'm posting about the worst 1 year 6 months I have ever experienced in a department","- It's a who you know not what you do type environment... 
- First month in this department the ENTIRE team quit except for myself and two others. 6 in total. Should have been a here is your sign moment...
- They will ask you to resubmit your request after you have already been waiting months and received an initial confirmation. 
- Pay was a constant issue working 3rd shift. I was placed on two-week vacation when I started in this department so I did not lose my vacation time. I had two weeks left and did not want to take it being so new to the team. I was willing to sacrifice this for the new position. I WAS NOT PAID and the SOLUTION was to work 80 HOURS OT OVER THE NEXT MONTH TO GET MY MONEY THAT I WAS ALREADY OWED. SO I WORKED 6-7 DAYS A WEEK TO GET MY PAY FOR THE NEXT MONTH.
- If you took a Friday off working third shift you would be short for the previous and current week. REGARDLESS if you STILL WORKED 5 DAYS THAT WEEK. Solution - Work an extra hour each day next week to make sure you are correctly PAID for that week. No this was not OT.
- Several requests were just lost. We were so short-staffed all the time I could understand ""losing"" request as well I guess. 
- I was clear about the third shift when I was interviewed and placed a REQUEST for 2nd shift. While off work for my scheduled weekend a new hire was given second shift and we were told that's not a decision based on seniority "" Almost everything is when it's convenient in this department including parking "" Then why make a deal about request and seniority too begin with?
- Your ""ideas"" and ""suggestions"" that better the team and department will be stolen and no proper credit will be given. They will ""forget"" you submitted it. I kept folders *
- If your close friends with leadership then your life will be grand. 
- If you do not brown-nose keep that resume handy!
- Management is a do what we say not what we do type team.
- They like to enact policies then only enforce them when its convenient or beneficial to them or their ""favorites""

My termination was even dirtier then above mentioned things. Ive waited 3 months to post this to see if I was still mad. Sadly I am but I've got great things going personally! This has just been a bump in the road... but one I needed to address.",,x,v,v,4,4,1,1,4.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-10-01, Technical Support,
1.0,Very dissatisfied,"Former Employee, more than 3 years",The pay is great the company itself is great. Aka Lakeland Florida locations are run amazingly great managers and great employees,My experience has been  Sexual-harassment was not taken seriously thereI have had my breast Ive had guys talk about sex in front of me.  Use vulgar language . when I reported it to managers nothing was done. It really sucked and hurt that I would report misconduct and my managers did nothing to stop it. I was told I complain to much.  I was not even allowed to make a formal complaint with HR. My managers swept it under the rug like it was no big deal. My Management held family medical leave against me. They punished me for having serious medical condition. It’s more the leader ship ( managers) that brings the company down at the Buford location,,x,v,x,1,5,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2020-08-30, Order Selector,
2.0,"Great for a secondary or first job, terrible as a career.","Current Employee, more than 1 year","Easy work
Minors can work here
Flexibility (this is the only REAL reason you should work here)
Half-year raises
Good 401k","Promotions are super slow 
Pay is below the competitive level
Work is boring, will likely make you feel like a shell
Scheduling is crazy: They will make you close at 12 A.M and expect you back at 6:30 in the morning if your availability is open.
Entitled customers.",,x,r,v,1,3,3,3,2.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-07, Front Service Clerk (Bagger),
4.0,"Fantastic company, difficult to balance hours w. Life","Former Employee, more than 1 year","Loved my team, we were like family. I enjoyed coming into work every day! I didn't mind staying late or coming in early.","The work life balance was difficult with the hours I was scheduled. Open to close back to back was a regular thing. Also, pay was too low for the amount of work expected.",,v,v,v,3,3,5,3,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-16, Customer Service Associate,
4.0,It May Not Be For Everybody,"Former Employee, less than 1 year","-It's a good first job to get entry-level experience 
-Benefits
-Nice customers that make your day or give feedback
-Nice coworkers","It may not be for everybody. Good customer service is important and that includes being able to handle even the rudest customers. You have to remember you're at work and smile because if you're in a bad mood or are not having a good day/days, customers may see that on your face and may complain to your manager. Too many customer complaints are not good. So you got to work on what you've got going on during those bad mood days.",,v,r,v,4,3,3,3,5.0,,Reviews/Publix-Reviews-E613700.htm,2020-09-03, Cashier,
4.0,Good place for a first job,Current Employee,"Relatively easy to get a job
Decent work culture (people tend to care at least somewhat about their job)
Reasonable pay","Your experience could be very different depending on management at that store/district
It's not amazing, but you shouldn't expect it to be. It's an entry-level, retail job.",,v,r,v,4,3,4,5,4.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-10-05, Customer Service Staff,
4.0,"Overall, a positive experience",Former Employee,"-Hires young
-Great benefits
-Flexible depending on position
-Decent pay
-Positive atmosphere","-At times you feel like an actor/robot when trying to stick to providing ""exceptional customer service"". If you don't meet their standards, which are pretty high, they let you know.",,v,v,v,4,5,4,4,4.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-11-28, Currently Unemployed And Seeking Work,
3.0,Work at Publix,"Current Employee, more than 1 year",There is opportunity for you to grow in the business. It can take you to the next level in management.,"I feel as though at times, there lack a sense of communication and compassion. Over the years it seems to be a different style of management,",,v,v,v,3,4,4,4,3.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-06, Customer Service Representative,
2.0,A bad store manager can change your career path.,Current Employee,They are building new stores every week.,"The benefits kind of suck. 
Once in management your home life balance goes out the window,",,x,x,r,4,2,1,1,2.0,1.0,Reviews/Publix-Reviews-E613700.htm,2020-12-25, Meat Cutter,
4.0,Good place to work as a student,Current Employee,they work with your schedule and if you stay with them and are eager to work your way up you can learn a lot,There's a lot of annoying people you have to work with and the performance reviews very often do not reflect your work at all,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2020-12-28, Customer Service Representative,
5.0,Great place to work,Former Employee,"The best thing for me would be the flexibility of the schedule. As a college student, I let my department manager know when I was able to work and he worked me then.","From what I have seen, Publix doesn’t promote in store past team lead. If you are going to move past team lead, you will probably be transferred to another store.",,v,v,v,4,4,5,5,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-11-27, Grocery Replenishment Specialist,
3.0,The pub life,Current Employee,"Pay is not bad
Managers move rapidly
Company stock 
Solid benefits
Opportunity to move up
Competitive pay 
The ability to make a lifelong career if dedicated enough","Managers move rapidly 
Must play the Publix game to get promoted (you need to be what Publix incisions there employees to be)
Very store and environment dependent
Coworkers make all the difference because each department is very team based",,v,r,v,5,5,2,2,3.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-10-24, Grocery Clerk,
5.0,"They say what they do, and do what they say","Current Employee, more than 5 years","It is a great working environment. But understand, Publix has high standards and expects exceptional work from their associates. And always understand you will only get out what you are willing to put in while working here. If you do an exceptional job, they will bend over backwards to work with you. Also understand that no company is perfect, Publix included, but they take care of their associates with great benefits and great working environment.",You are on your feet for long periods of time. But you understand this when you accept the position.,,v,v,v,4,5,4,4,5.0,,Reviews/Publix-Reviews-E613700.htm,2020-08-27, Customer Service,
2.0,Micromanagement,"Former Employee, more than 1 year",Good benefits and it looks good on a resume for customer service,Company as a whole is all about micromanaging absolutely everything. Not a very friendly environment. The store I worked at discriminated against my hair color because I’m a natural red head but they believed it was dyed which was not allowed.,,x,r,r,4,4,1,3,2.0,2.0,Reviews/Publix-Reviews-E613700.htm,2020-12-29, Front End Cashier,
3.0,Good benefits but you will feel trapped,"Former Employee, more than 3 years","The pays good, better then any other warehouse. The benefits are also actually pretty good too.","Don't follow the hype though, their stocks are okay. Not really anything special nor are the dividends that good better off going publix stocks. And if a hurricane hits or screams people 12-14 hour shifts are going to happen. You think you want hours still you have so much you miss out on eating and seeing family just to sleep.",,v,r,r,3,5,3,2,3.0,,Reviews/Publix-Reviews-E613700.htm,2020-08-28, Forklift Operator,
4.0,Fun place to work,"Current Employee, more than 3 years","Fun place to work if you like physical work, more than minimum wage, good place to work if you like lifting weights (cause you're always lifting heavy things), great place to be a manager","takes a long, long time to become a publix manager usually, physical work is tiring, minimum wage isn't $15 in Florida, pay is kind of low, if you're not a nice person I don't recommend working here because you have to be very nice to customers",,v,v,v,4,4,4,4,4.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-10-09, Front Service Clerk (Bagger),
2.0,"Good stepping stone, not something to do for the long-run, especially if you have other career goals.","Current Employee, more than 3 years","good people, good opportunities, stock options, benefits.","micro-managing, lack of trust, lack of value, dictatorial culture.",,x,r,v,1,2,1,1,1.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-12-29, Meat Clerk,
3.0,Can be good or bad depending on management,"Former Employee, more than 5 years","(Part time) Can work whenever you want, take as much time off you want","Full time associates often working late nights, early mornings
Typical retail complaints
Managers get shifted around often, don't get comfortable with a good manager because they could be gone within a week
Promotions get handed to the wrong people constantly",,x,r,r,4,2,1,3,4.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-11, Grocery Clerk,
4.0,Great place sometimes good co workers,"Former Employee, more than 3 years",They have great benefits for you and the place I worked first were amazing. Felt like a family.,When I got to the new store the people were not very nice and luckily I got a job soon after but a lot of my former coworkers were unhappy and getting written up.,,v,v,v,3,4,3,4,4.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-12-09, Part Time Cashier,
5.0,Great Company,"Former Employee, less than 1 year","Company cares about its people, coworkers and management were great, benefits were excellent, tons of room to grow","2nd and 3rd shift were not great but knew that going into it, location (lakeland) is not ideal",,v,v,v,5,5,4,4,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-27, Associate Customer Tech Support Analyst,
2.0,Treated like am a 12 year old,"Current Employee, less than 1 year",Job is easy not much to it,Treated like am 12 years old by managers want to go to the bathroom ask permission or get paged to come to the front within 3 minutes. Will keep you after the scheduled time to get off you are not respected nor is your time or personal life.,,x,r,x,1,2,2,2,2.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-11-24, Sales Associate/Cashier,
5.0,Best company I've ever worked for.,"Current Employee, more than 1 year","If you work hard, they definitely reward you. Also benefits for part time positions.","If you are unlucky enough to get stuck with a crap manager. My assistant manager is my only complaint, I've had worse though.",,v,v,v,5,5,5,5,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-05, Baker,
4.0,Great Company,"Current Employee, more than 1 year","Employees are treated well
Pay is good for the jobs in the stores
Good benefits even for part time employees is offerred after some hours worked with company
Stock given as soon as you are hired
Perks/rewards for commendations and hard work
Range of hours
Upward movement good for younger employees
Understanding regarding family emergencies and ""life"" issues that sometimes happen","85% of employees are part time
Not much upward movement for older employees hired",,o,o,o,4,4,3,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2020-08-24, Bakery Clerk,
5.0,Great part time job,"Former Employee, more than 3 years","Great work environment, usually adequate staffing and proper resources given to perform successfully and not under stress, collect free stock, management is well trained and treat employees well (at certain locations anyway), employees receive recognition and get raises every 6 months","Not a living wage to start, schedules can be really good or really bad depending on manager",,v,r,v,5,4,4,5,5.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-10-11, Produce Clerk,
2.0,Poor managment not fun place to work always the same,"Current Employee, less than 1 year",Pay is good as a starter only but when you realize the task you are given its not worth it plus if you are overnight u will lose ur sleep scedule,Poor managment not fun at all,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2020-12-25, Overnight Stocker,
3.0,Happy to be out!,"Former Employee, more than 1 year","Coworkers, pay isn't enough but better than minimum wage. Hours, if management likes you.",Management is hit or miss. Always understaffed. Hard to make your voice heard.,,x,x,o,3,4,3,2,3.0,4.0,Reviews/Publix-Reviews-E613700.htm,2020-10-20, Deli Clerk,
4.0,Fine company,"Former Employee, less than 1 year","All my coworkers were friendly, cool people. Honestly a fun job experience overall.",It all depends on who the manager is. My manager was very much into micromanaging so I took a job elsewhere but that's my only complaint.,,v,v,v,5,5,4,4,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-28, Stock Clerk,
4.0,Good opportunity if you can manage the grund,"Current Employee, more than 5 years","Good Benefits, flexible hours, bi-yearly raise opportunities","Rude customers, management inconsistencies, stressful and demanding at times",,v,r,v,,,,,,,Reviews/Publix-Reviews-E613700.htm,2020-12-30, Customer Service Representative,
2.0,"Great community, terrible company","Current Employee, less than 1 year","Great coworkers, clean work space","Do not mandate mask for customers, no reminders for customers to wear face mask, not enough employees",,x,x,o,3,2,2,3,2.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-12-01, Deli Clerk,
5.0,Publix is the Place to be!,"Current Employee, less than 1 year",It's a great company that really cares about its associates and offers opportunities to move up in the company!,Because they allow you to work at such a young age and they really don't age discriminate at all with there being much older staff there as well. It can create a bit of a gossip pool with so many generations not really seeing eye to eye.,,v,r,v,5,5,5,5,5.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-10-12, Customer Service Associate,
3.0,"Great company, terrible management","Current Employee, more than 5 years","Benefits, good pay, reasonable hours","Dramatic Co workers, managers showing favoritism. Managers do not care about anyone but themselves",,x,v,x,5,5,2,1,4.0,5.0,Reviews/Publix-Reviews-E613700.htm,2020-12-13, Customer Service Staff,
3.0,The Truth,"Current Employee, less than 1 year",Flexible schedule and benefits for workers,"Too dependent on certain workers due to them hiring people who are not capable of doing the job right. They also underpay the people who hold the company down, and take advantage of them with little appreciation.",,x,r,r,4,5,4,3,2.0,3.0,Reviews/Publix-Reviews-E613700.htm,2020-12-05, Bagger/Cashier,
