rating,title,status,pros,cons,advice,Recommend,CEO Approval,Business Outlook,Career Opportunities,Compensation and Benefits,Senior Management,Work/Life Balance,Culture & Values,Diversity & Inclusion,firm_link,date,job,index
5.0,Tight,Former Employee,A great place to work,There are no cons to Publix,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-10-23, Cashier,
4.0,cashier,"Former Employee, more than 1 year","A great workplace, friendly people","tough management, very hard to move up",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-11-02, Cashier,
5.0,The best,"Former Employee, more than 1 year","Stock, people, customers, friendly atmosphere",There are not any cons,,v,v,v,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-11-06, Cashier,
4.0,Great!,"Current Employee, more than 3 years","Benefits
Tuition Reimbursement 
Employees
Time off",May take some time to get a promotion,,v,v,v,4,4,4,4,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-11-05, Customer Service,
5.0,Publix job,Current Employee,It was a great job,People be annoying sometimes Fr,,v,o,o,4,2,4,3,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-11-10, Cashier,
5.0,Great,"Current Employee, less than 1 year","Amazing open door policy 
Paid/Sick Vacation","Strict scheduling 
Not many cons",,v,v,v,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-11-15, Warehouse Selector,
5.0,Love this place,"Former Employee, more than 1 year",Everyone is so friendly,Long periods of standing still,,v,v,v,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-11-24, Cashier,
1.0,Toxic Work Culture,"Former Employee, more than 3 years",Unpaid vacations permits several approved vacation requests.,"Toxic work culture - I witnessed an elderly co-worker ordered by a customer site coordinator to scrub the floor with a toothbrush to keep her job.
Low wages.",,x,o,o,,,,2,,,Reviews/Publix-Reviews-E613700.htm,2019-12-11, Part Time Cashier,
4.0,Publix Cashier,Former Employee,"Clear expectation, very Good benefits.","Pay is not competitive, short hours.",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-12-12, Cashier,
2.0,Cashier,"Current Employee, more than 5 years",Great customers! I enjoyed serving our guests.,Lack of transparency and poorly trained management.,,x,x,o,1,1,1,3,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-12-22, Cashier,
5.0,Best company,"Current Employee, more than 10 years","Career Opportunity, retirement, work environment",No cons what soever.,,v,v,v,5,5,4,4,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-01-30, Anonymous Employee,
5.0,Publix Deli,"Former Employee, more than 1 year",Good atmosphere. Nice manager.,There really wasn’t any cons.,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-03-06, Deli,
5.0,Happy,Former Employee,It’s Wonderful place to work,There is no cons here,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-03-14, Anonymous Employee,
5.0,Tough,Current Employee,Great benefits and great people,Bad work/life balance overall somewhat,,o,o,o,5,4,3,2,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-03-31, Grocery Manager,
4.0,Great,"Former Employee, more than 3 years",Lovely management and flexible hours,None that I can think of.,,v,v,v,4,3,3,4,4.0,,Reviews/Publix-Reviews-E613700.htm,2019-04-15, Crew Member,
3.0,+++,Current Employee,Grateful for the job opportunity,None to report  at this time,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-05-21, Meat/Seafood Clerk,
2.0,"No hrs,","Current Employee, less than 1 year","Food,snack,clean,fun to work to servise.","No hrs,alop of hope no back up",,x,r,r,3,2,2,2,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-06-11, Produce Clerk,
3.0,Okay Job,"Former Employee, more than 1 year",Great Benefits for the workers,Lazy workers don’t come to work,,v,v,r,2,5,4,2,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-06-15, Clerk,
1.0,Publix is Overrated/Avoid Applying to Spaulding Drive location,Former Employee,"Weekly pay,certificates for lunch,volunteer opportunities","They don’t want to hire anyone fulltime,no sense in getting benefits when checks under $300.
Don’t bother reporting any form of harassment.Managers will sweep it under the rug",,x,r,x,3,1,1,1,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-07-16, Front End,
5.0,Excellent,Former Employee,It’s a great work environment.,There really are no cons.,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-09-17, Bagger,
4.0,great,"Former Employee, more than 3 years","flexible, good pay, nice people","upper management, promotions  are political",,v,r,v,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-09-26, Cashier,
3.0,Publix Deli Clerk,"Former Employee, less than 1 year",Good benefits. Good pay.,On your feet for hours.,,v,v,v,1,3,1,3,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-09-29, Deli Clerk,
2.0,Experience,"Former Employee, more than 5 years",Good benefits after working for one year,"under staffed, under paid, and overworked",,x,o,o,3,3,1,2,2.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-03, Deli Clerk,
3.0,good job,"Former Employee, more than 3 years",good work enviroment and people,pay is average and limited opportunity,,v,r,v,3,2,2,3,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-06, Cashier,
5.0,Benefits,"Former Employee, more than 3 years",Great benefits and friendly staff.,Not able to accept tips.,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-10-10, Cashier,
3.0,Part time,"Former Employee, more than 5 years",Great co-workers (Varies by location),No benefits for part time employees,,o,o,o,,3,,4,,,Reviews/Publix-Reviews-E613700.htm,2019-12-16, Customer Service Associate,
4.0,Pharmacy,"Current Employee, more than 1 year",There is flexibility in schedule,Pharmacy is a busy department,,v,v,v,4,4,4,4,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-02-24, Pharmacy Technician,
4.0,JOB,Former Employee,Great benefits with free lunch,Long hours with physical work,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-04-11, Dock Person,
3.0,perspective,"Current Employee, more than 3 years",good place to learn a lot,needs more interconnection with management,,v,v,v,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-06-17, Senior Analyst,
4.0,Review,Former Employee,Good work and good benefits,Poor management And redundant work,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-07-10, Anonymous Employee,
1.0,over night stock,"Former Employee, less than 1 year",none management played favorites and talked to everyone like they were dirt i never even made enough to have christmas that year and i couldn't even afford ubers to work,bad management bad work conditions and low pay and hours,,x,o,o,1,1,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-11-29, Anonymous Employee,
4.0,Good Company,Current Employee,"Benefits, advancement, pay potential","Schedule including nights, mornings, weekends",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-12-19, Manager Customer Service,
4.0,Great!,"Former Employee, more than 5 years","Good benifits, hours and staff",Customers can be ridiculous,,v,v,v,4,4,4,4,4.0,,Reviews/Publix-Reviews-E613700.htm,2019-03-21, Front Service Clerk,
3.0,yep,Former Employee,pros are that they pay,not enough that is.. .yep,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-04-24, Anonymous Employee,
3.0,/,"Former Employee, more than 1 year","stocks, close to home etc.","pay, hard work, management etc.",,v,o,o,3,3,2,2,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-07-03, Front Service Clerk,
3.0,Hard work,"Current Employee, less than 1 year","Advancement, good hours, friendly coworkers",A lot of work,,o,o,o,4,3,3,2,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-07-26, Bakery Clerk,
1.0,Not top place in America to work,"Current Employee, more than 3 years",None your screwed if your sick,Don’t get sick family members if your in mgmt .time off will only be granted with veiled threats to your continued employment,,x,v,r,1,4,2,1,2.0,,Reviews/Publix-Reviews-E613700.htm,2019-09-05, Meat Manager,
4.0,Cashier,"Former Employee, more than 8 years",You get paid every week,Dealing with prejudice customers,,v,r,v,2,3,2,5,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-23, Cashier,
3.0,Great opportunity,"Current Employee, less than 1 year","Hours ,pay rate ,",Nothing I can say,,v,v,v,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-01-29, Warehouse Associate,
2.0,Trash,Current Employee,Nothing is good about here,Everything is terrible working here,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-02-04, Stock,
3.0,pub,Former Employee,"benefits , hours , bonus","management, uniform, no advancement",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-08-17, Cashier,
1.0,Very stressful,"Current Employee, more than 8 years","Good money, 2 days off always","Lazy coworkers, Poor management, stressful work week",,x,x,x,1,1,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-04-20, Deli Clerk,
1.0,terrible and full of obstacles,"Current Employee, more than 1 year",the coworkers are nice and helpful sometimes,the managers put you down so there is no way of moving up in the company,,o,r,x,1,4,1,2,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-11-09, Anonymous Employee,
1.0,Work your butt off for lil to no money,Current Employee,If you do everything you May get promoted.,Management does not like if you have a brain or an opinion.,,x,r,x,1,1,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-01-14, Bakery,
1.0,Meh,"Former Employee, more than 3 years",Eating  and tasting the different foods that would be made in the bakery or received frozen from the warehouse,Customers and picking up after other associates,,x,r,x,1,1,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-03-06, Bakery Clerk,
1.0,Customer service,"Current Employee, less than 1 year",Publix is customer friendly place,"Bagging in heat, not enough hours no  consistency",,x,r,r,2,1,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-09-19, Cashier,
1.0,horrible,"Current Employee, less than 1 year",great customers and employees,"horrible managers , not good customer service at all !",,x,r,x,4,4,4,4,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-12-03, Cashier,
1.0,Meatcutter,"Former Employee, more than 1 year","None, you are alone a lot of the time","Long hours, closing then opening not worth it, also incompetent management",,x,x,r,1,3,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-01-16, Meatcutter,
1.0,"Very Strict, Dictator Based Job","Former Employee, more than 3 years",High Quality in the Products,"Too many to name, it's retail even at Publix",,x,x,x,1,1,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-03-25, Meat Cutter,
1.0,Bad place to work for highschoolers,"Former Employee, more than 1 year",Fun co-workers and fun customers to interact with,Awful management and structure of workers,,x,r,x,1,1,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-09-10, Front Service Clerk and Bagger,
1.0,beware,Former Employee,there are no pros to working for this company,everything is horrible about this company,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-01-21, Anonymous Employee,
1.0,Bad Experience,"Former Employee, less than 1 year",They had a good starting salary,Management was terrible and the hours were awful.,,x,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-03-04, Cashier,
1.0,Where working is not a pleasure,"Former Employee, more than 3 years",Great co-workers and great customers,Management does not care about you,,x,x,o,1,1,1,1,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-04-22, Deli Clerk,
1.0,Micromanaging,Former Employee,"Bonuses
camaraderie with your colleagues","Less pay compared to same job elsewhere 
Micromanaging 
No Work/Life Balance
Long hours",,o,o,o,1,3,1,1,4.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-17, Anonymous Employee,
1.0,Cashier,Current Employee,Great benefits while working for the company.,micromanagement by customer service reps,,o,o,o,1,5,,1,,,Reviews/Publix-Reviews-E613700.htm,2019-02-19, Anonymous Employee,
3.0,Maintenance,Former Employee,"Benefits, Stock, Options, insurance, 401K","Became less of what the company once was when they moved to GA, SC and AL",,x,r,r,3,4,2,4,2.0,,Reviews/Publix-Reviews-E613700.htm,2019-07-26, Anonymous Employee,
5.0,Good pay good benefits,"Former Employee, less than 1 year",Great opportunities for raises and moving up the scale. Good starting salary. Very flexible scheduling. Understanding management.,Customers are difficult to deal with but you're expected to put up with it. Working holidays is difficult. Mind numbing busy work if it's a slow day.,,v,r,r,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-06-23, Part Time Cashier,
5.0,you already know how it goes,"Current Employee, less than 1 year",was super super dope and cool and you should do it like hella dope,"none bro, was just super dope",,v,v,r,5,5,4,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-11-07, Cart Pusher,
5.0,About workplace,"Current Employee, more than 1 year","Good management 
Co workers are good","Too much work load
Lack of recognition and acknowledgement",,x,r,x,3,2,2,2,2.0,,Reviews/Publix-Reviews-E613700.htm,2019-05-22, Customer Service Representative,
3.0,Working hours,Former Employee,Some good people to work with,Give you the run around when asking for more hours,,x,r,r,3,2,2,3,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-03-12, Anonymous Employee,
3.0,clerk 1,Former Employee,"Team spirit
Having a leader
Courteous staff","Working late
Not having  enough time enjoy lunch",,v,v,v,4,4,4,4,4.0,,Reviews/Publix-Reviews-E613700.htm,2019-02-06, Anonymous Employee,
5.0,good place to work,Current Employee,high tech company for freshers,leadership problems at higher level,,o,o,o,5,3,1,1,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-07-15, Anonymous Employee,
5.0,Yeah good,Former Employee,"Pretty good eh, yeah mate","Nothing major mate, not bad",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-06-24, Sales Representative,
4.0,manager,"Current Employee, more than 1 year",it is a great place,not really any cons here,,v,v,v,4,4,4,4,4.0,,Reviews/Publix-Reviews-E613700.htm,2019-02-08, Manager,
3.0,"Expect more AND less, means to an end","Former Employee, more than 1 year",Depending on the staff you will be working with some very talented individuals. You will learn a lot from your co workers even if you have worked in fine dining previously. Take full advantage of Forbes steps of service training & wine classes. Every day you are expected to bring the very best to your all guests(especially VIP). If you take pride in your work this can be a satisfying place to work. Benefits are available but be sure you are working over 50 hours a week including Sunday Brunch & holidays. Best part of the job was definitely my co workers and some favorite celebrities.,"The pay does not compensate for the long shifts and amount of work/talent expected. Not only must you work Sunday brunch to guarantee a decent paycheck but all tips are pooled (cash & credit) with cooks, floor valets, vehicle valets, front desk. In the summer months when the place gets rocked, they bring on employees from an exchange program. Tips are NOT POOLED with these employees! They make all the money in the summer that you prayed for in the winter. Not only do they barely speak English but the same standard of service does not apply. 

On another note, if you ever have an issue with a manager harassing you, don’t expect HR to be at all helpful. We had a meeting with my attacker and nothing was done even with a witness.",,x,o,r,2.0,2.0,1.0,1.0,3.0,,Reviews/Ocean-House-(RI)-Reviews-E935461.htm,2019-11-11, Server,
1.0,You Only Get A Small Percent of Your Tips,"Former Employee, less than 1 year",Beautiful Facility and Watch Hill is gorgeous,If you depend on your career as a server to pay your bills then you won’t be able to here! You only receive a small part of the tips you make because of a tip pool. And the pool is not equally divided! I made $1000 in tips in one week and only received $350 of it in my pay check.  And you work harder here than anywhere else you’ll ever be a sever… I only made it 2 months and had to go somewhere else that pays what I earn.,,x,o,r,1.0,1.0,1.0,3.0,1.0,,Reviews/Ocean-House-(RI)-Reviews-E935461.htm,2019-01-28, Server,
2.0,The disrespect,"Former Employee, more than 3 years","Management does not care about you. I was here four years, picked up everyone's shifts and always stayed late to help out, because I wanted the team to do well. Management took advantage of my kindness and would tell me  I had to stay for the night shift (usually out around 11 pm) after coming in for 7 am., not ask. My schedule that was posted would constantly be changed without my knowledge. There is no such thing as a raise and favoritism is at a high. They don't care how long you're shift is, if you're working ten hours (typical base shift) and it's busy you don't get a break, and stepping off to even pee is looked down on.",Uniforms provided and washed for you. Free food at break if you get one.,,x,o,r,1.0,3.0,1.0,1.0,2.0,,Reviews/Ocean-House-(RI)-Reviews-E935461.htm,2019-06-08, Anonymous Employee,
1.0,The worst imaginable,Former Employee,The view is gorgeous and the idea of working at such a prestigious property is awesome!,Have you listened to the podcast The Dropout?  The culture is exactly like that. The employees are dedicated to fulfilling the five star luxury dream however the employees are treated so terribly and are so fearful for their jobs and for the executives ruining their careers within the industry they stay. The turnover is unreal... which is what happens when the executives talk about people like dogs and expect them to work 70 plus hours a week. Employees and managers are called every name in the book.  Another review says run far away. Truer words have never been spoken. Work here only if you want to be treated badly... find out why the person before you left and why there have been 7 people in your potential job in the last few years. Run.,,x,x,x,4.0,2.0,1.0,1.0,1.0,,Reviews/Ocean-House-(RI)-Reviews-E935461.htm,2019-04-30, ,
3.0,Weekapaug Inn,Former Employee,"Really great co-workers with a love for the property
Beautiful facility with water views and lots of activiites
Guests love the place","Can be understaffed in the summer - particularly in food service
Pay too low
Focus on Forbes 5-star details when just getting the basics nailed would have much bigger payoff.",,o,o,o,3.0,3.0,3.0,2.0,3.0,,Reviews/Ocean-House-(RI)-Reviews-E935461.htm,2019-03-27, Anonymous Employee,
1.0,Beautiful place. Horrible management.,Current Employee,One of the most beautiful places you will ever see,Horrible management that treats employees very poorly. There is no work life balance at all they only care about their star ratings and turnover is extremely high,,o,r,o,,,,,,,Reviews/Ocean-House-(RI)-Reviews-E935461.htm,2019-08-28, ,
1.0,Run far away,"Former Employee, more than 1 year","Beautiful location, nice restaurant, nice for guests (on the outside)","Executive management, president, work life balance, guests have no clue what is going on.",,x,o,x,1.0,2.0,1.0,1.0,1.0,,Reviews/Ocean-House-(RI)-Reviews-E935461.htm,2019-04-18, Manager,
5.0,Great place!,"Current Employee, more than 3 years","Good benefits, great chefs, great environment",Really enjoying my time here!,,v,o,v,5.0,4.0,5.0,4.0,5.0,,Reviews/Ocean-House-(RI)-Reviews-E935461.htm,2019-07-15, Cook,
1.0,State employees are treated poorly,"Former Employee, more than 3 years","Nice coworkers, patients treated well, time off accrues fast","State employees do not get raises, the starting pay is extremely low for the clinical research industry, promotions do not lead to a raise, no tuition reimbursement, very high turnover, no career development, little advancement opportunity, parking is off site using shuttle and expensive, mandatory 5% retirement taken out of checks, HR people are terrible and rude, no performance evaluations, never told when there are problems, line managers are often not qualified or adequately trained to manage, non-reappointments occur in March when they basically fire people they think are overpaid, almost no communication from directors, zero communications from the hospital side, no work-life flexibility, absolutely no working from home, coworkers tattle when you don’t work enough hours, office gossip is out of control and doesn’t help that there is almost no management communication, they hire totally unqualified people and expect their team to just train them, work is not even close to equally distributed, I could go on.",,x,r,r,3,2,3,1,3.0,,https://www.glassdoor.com/Reviews/University-of-Kansas-Medical-Center-Reviews-E19581.htm,2019-04-02, Chief Technology Officer,
3.0,Management needs to listen and not enough staff in the clinics.,Current Employee,"Benefits, paid holidays in the clinic, getting to parking in a parking garage.",Management doesn’t listen to the people who work in the clinics. They are the ones who know how make the clinic function better. Not enough staff in the clinic for how fast we are growing. The parking is ok depending where you are.,,o,r,o,,,,,,,https://www.glassdoor.com/Reviews/University-of-Kansas-Medical-Center-Reviews-E19581.htm,2019-07-21, ,
2.0,"Toxic work environment, clinging desperately the abusive ""old guard"" practices of training future scientists",Current Employee,"Many, many excellent resources to facilitate pursuit of research interests (e.g. core facilities, internal bridge funding, leadership training, professional development)","Toxic environment that is abusive to postdocs and staff scientists
Reinforcement of negative behaviors by institutional leadership
Lack of willingness to advance best talent
Little to no HR oversight of management of research staff
Negative interactions between KUMC business units (occupational health, parking services) and their customers (employees)",,o,o,o,2,3,1,1,1.0,,https://www.glassdoor.com/Reviews/University-of-Kansas-Medical-Center-Reviews-E19581.htm,2019-02-20, Senior Research Scientist,
1.0,Zero resource development,"Former Employee, more than 5 years","Good question!! There isn't much positive about working there. Certainly, nothing worth mentioning.","Management lacks the ability and desire to develop staff. Often hire people without experience, then fail to help them succeed, then fire them for their failure to succeed.",,x,r,r,1,3,1,3,1.0,,https://www.glassdoor.com/Reviews/University-of-Kansas-Medical-Center-Reviews-E19581.htm,2019-02-14, Billing Compliance Analyst,
5.0,Amazing place to work,"Current Employee, more than 3 years","Lots of opportunity for advancement, excellent work/life balance, very low stress most of the time, SO MUCH PTO, incredibly generous 401k contribution, great gym on site (and free yoga over lunch once a week), urgent care for employees on site even for non-job related needs, very convenient if you have a lot of doctor appointments... could probably list more - TONS of pros.","Parking is pretty inconvenient, and there are some people who get a bit big for their britches sometimes. That's about it though. Very insignificant in the grand scheme of things.",,v,v,v,5,5,4,5,5.0,,https://www.glassdoor.com/Reviews/University-of-Kansas-Medical-Center-Reviews-E19581.htm,2019-04-26, Project Manager,
4.0,A great place for graduate study in biomedical sciences,"Current Employee, more than 3 years",The medical center offers a great opportunity to study human health related sciences.,"This is not really a con, depending on how you look at it. Unlike big universities where graduate students usually work as teaching assistants. Graduate students here only work as research assistant, so that you can focus more on your research. But if you are looking for some teaching experience for your graduate studies, you might not get much from here.",,v,r,r,4,3,5,3,5.0,,https://www.glassdoor.com/Reviews/University-of-Kansas-Medical-Center-Reviews-E19581.htm,2019-09-12, Graduate Research Assistant,
